Time,R_Max
3300.0,2.9891
3310.0,2.9891
3320.0,2.9891
3330.0,2.9891
3340.0,2.9891
3350.0,2.9891
3360.0,2.9891
3370.0,2.9891
3380.0,2.9891
3390.0,2.9891
3400.0,2.9891
3410.0,2.9891
3420.0,2.9891
3430.0,2.9891
3440.0,2.9891
3450.0,2.9891
3460.0,2.9891
3470.0,2.9891
3480.0,2.9891
3490.0,2.9891
3500.0,2.9891
3510.0,2.9891
3520.0,2.9891
3530.0,2.9891
3540.0,2.9891
3550.0,2.9891
3560.0,2.9891
3570.0,2.9891
3580.0,2.9891
3590.0,2.9891
3600.0,2.9891
3610.0,2.9891
3620.0,2.9891
3630.0,2.9891
3640.0,2.9891
3650.0,2.9891
3660.0,2.9891
3670.0,2.9891
3680.0,2.9891
3690.0,2.9891
3700.0,2.9891
3710.0,2.9891
3720.0,2.9891
3730.0,2.9891
3740.0,2.9891
3750.0,2.9891
3760.0,2.9891
3770.0,2.9891
3780.0,2.9891
3790.0,2.9891
3800.0,2.9891
3810.0,2.9891
3820.0,2.9891
3830.0,2.9891
3840.0,2.9891
3850.0,2.9891
3860.0,2.9891
3870.0,2.9891
3880.0,2.9891
3890.0,2.9891
3900.0,2.9891
3910.0,2.9891
3920.0,2.9891
3930.0,2.9891
3940.0,2.9891
3950.0,2.9891
3960.0,2.9891
3970.0,2.9891
3980.0,2.9891
3990.0,2.9891
4000.0,2.9891
